Date,Close,Volume,Open,High,Low,SPX
2023-06-12,423.97,5967712,418.83,424.7,416.57,4338.93
2023-06-13,435.73,7820535,430.01,437.27,428.4,4369.01
2023-06-14,440.86,8413089,434.99,447.33,433.5,4372.59
2023-06-15,445.27,7099915,444.1,448.65,439.5,4425.84
2023-06-16,431.96,8753740,446.15,447.51,430.9,4409.59
2023-06-19,435.9,2305937,430.18,439.75,430,"4,409.59"
