Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,asymmetric,0.61,0.39376053342340434
100% Corpus,3,asymmetric,0.9099999999999999,0.3724866444519101
100% Corpus,3,asymmetric,symmetric,0.4166087612052297
100% Corpus,4,0.01,0.01,0.36432934513456
100% Corpus,4,0.01,0.31,0.43150326407647216
100% Corpus,4,0.01,0.61,0.45983522325871
100% Corpus,4,0.01,0.9099999999999999,0.46837626923170783
100% Corpus,4,0.01,symmetric,0.3947963609075499
100% Corpus,4,0.31,0.01,0.3666253512638147
100% Corpus,4,0.31,0.31,0.4621227707152419
100% Corpus,4,0.31,0.61,0.4237823293046028
100% Corpus,4,0.31,0.9099999999999999,0.4252793685689996
100% Corpus,4,0.31,symmetric,0.4007722315775319
100% Corpus,4,0.61,0.01,0.3422526093086719
100% Corpus,4,0.61,0.31,0.3845482656515575
100% Corpus,4,0.61,0.61,0.4500921212243861
100% Corpus,4,0.61,0.9099999999999999,0.49553803943391717
100% Corpus,4,0.61,symmetric,0.37394102616011426
100% Corpus,4,0.9099999999999999,0.01,0.34608650742883873
100% Corpus,4,0.9099999999999999,0.31,0.41805336209804633
100% Corpus,4,0.9099999999999999,0.61,0.432227005145136
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4544167138216005
100% Corpus,4,0.9099999999999999,symmetric,0.39662874499592826
100% Corpus,4,symmetric,0.01,0.3578110248459364
100% Corpus,4,symmetric,0.31,0.44804150145025
100% Corpus,4,symmetric,0.61,0.4578119682714526
100% Corpus,4,symmetric,0.9099999999999999,0.38185532346066664
100% Corpus,4,symmetric,symmetric,0.3546426700880573
100% Corpus,4,asymmetric,0.01,0.37321857744810555
100% Corpus,4,asymmetric,0.31,0.3911825773459754
100% Corpus,4,asymmetric,0.61,0.39376053342340434
100% Corpus,4,asymmetric,0.9099999999999999,0.3724866444519101
100% Corpus,4,asymmetric,symmetric,0.4166087612052297
100% Corpus,5,0.01,0.01,0.36432934513456
100% Corpus,5,0.01,0.31,0.43150326407647216
100% Corpus,5,0.01,0.61,0.45983522325871
100% Corpus,5,0.01,0.9099999999999999,0.46837626923170783
100% Corpus,5,0.01,symmetric,0.3947963609075499
100% Corpus,5,0.31,0.01,0.3666253512638147
100% Corpus,5,0.31,0.31,0.4621227707152419
100% Corpus,5,0.31,0.61,0.4237823293046028
100% Corpus,5,0.31,0.9099999999999999,0.4252793685689996
100% Corpus,5,0.31,symmetric,0.4007722315775319
100% Corpus,5,0.61,0.01,0.3422526093086719
100% Corpus,5,0.61,0.31,0.3845482656515575
100% Corpus,5,0.61,0.61,0.4500921212243861
100% Corpus,5,0.61,0.9099999999999999,0.49553803943391717
100% Corpus,5,0.61,symmetric,0.37394102616011426
100% Corpus,5,0.9099999999999999,0.01,0.34608650742883873
100% Corpus,5,0.9099999999999999,0.31,0.41805336209804633
100% Corpus,5,0.9099999999999999,0.61,0.432227005145136
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4544167138216005
100% Corpus,5,0.9099999999999999,symmetric,0.39662874499592826
100% Corpus,5,symmetric,0.01,0.3578110248459364
100% Corpus,5,symmetric,0.31,0.44804150145025
100% Corpus,5,symmetric,0.61,0.4578119682714526
100% Corpus,5,symmetric,0.9099999999999999,0.38185532346066664
100% Corpus,5,symmetric,symmetric,0.3546426700880573
100% Corpus,5,asymmetric,0.01,0.37321857744810555
100% Corpus,5,asymmetric,0.31,0.3911825773459754
100% Corpus,5,asymmetric,0.61,0.39376053342340434
100% Corpus,5,asymmetric,0.9099999999999999,0.3724866444519101
100% Corpus,5,asymmetric,symmetric,0.4166087612052297
100% Corpus,6,0.01,0.01,0.36432934513456
100% Corpus,6,0.01,0.31,0.43150326407647216
100% Corpus,6,0.01,0.61,0.45983522325871
100% Corpus,6,0.01,0.9099999999999999,0.46837626923170783
100% Corpus,6,0.01,symmetric,0.3947963609075499
100% Corpus,6,0.31,0.01,0.3666253512638147
100% Corpus,6,0.31,0.31,0.4621227707152419
100% Corpus,6,0.31,0.61,0.4237823293046028
100% Corpus,6,0.31,0.9099999999999999,0.4252793685689996
100% Corpus,6,0.31,symmetric,0.4007722315775319
100% Corpus,6,0.61,0.01,0.3422526093086719
100% Corpus,6,0.61,0.31,0.3845482656515575
100% Corpus,6,0.61,0.61,0.4500921212243861
100% Corpus,6,0.61,0.9099999999999999,0.49553803943391717
100% Corpus,6,0.61,symmetric,0.37394102616011426
100% Corpus,6,0.9099999999999999,0.01,0.34608650742883873
100% Corpus,6,0.9099999999999999,0.31,0.41805336209804633
100% Corpus,6,0.9099999999999999,0.61,0.432227005145136
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4544167138216005
100% Corpus,6,0.9099999999999999,symmetric,0.39662874499592826
100% Corpus,6,symmetric,0.01,0.3578110248459364
100% Corpus,6,symmetric,0.31,0.44804150145025
100% Corpus,6,symmetric,0.61,0.4578119682714526
100% Corpus,6,symmetric,0.9099999999999999,0.38185532346066664
100% Corpus,6,symmetric,symmetric,0.3546426700880573
100% Corpus,6,asymmetric,0.01,0.37321857744810555
100% Corpus,6,asymmetric,0.31,0.3911825773459754
100% Corpus,6,asymmetric,0.61,0.39376053342340434
100% Corpus,6,asymmetric,0.9099999999999999,0.3724866444519101
100% Corpus,6,asymmetric,symmetric,0.4166087612052297
100% Corpus,7,0.01,0.01,0.36432934513456
100% Corpus,7,0.01,0.31,0.43150326407647216
100% Corpus,7,0.01,0.61,0.45983522325871
100% Corpus,7,0.01,0.9099999999999999,0.46837626923170783
100% Corpus,7,0.01,symmetric,0.3947963609075499
100% Corpus,7,0.31,0.01,0.3666253512638147
100% Corpus,7,0.31,0.31,0.4621227707152419
100% Corpus,7,0.31,0.61,0.4237823293046028
100% Corpus,7,0.31,0.9099999999999999,0.4252793685689996
100% Corpus,7,0.31,symmetric,0.4007722315775319
100% Corpus,7,0.61,0.01,0.3422526093086719
100% Corpus,7,0.61,0.31,0.3845482656515575
100% Corpus,7,0.61,0.61,0.4500921212243861
100% Corpus,7,0.61,0.9099999999999999,0.49553803943391717
100% Corpus,7,0.61,symmetric,0.37394102616011426
100% Corpus,7,0.9099999999999999,0.01,0.34608650742883873
100% Corpus,7,0.9099999999999999,0.31,0.41805336209804633
100% Corpus,7,0.9099999999999999,0.61,0.432227005145136
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4544167138216005
100% Corpus,7,0.9099999999999999,symmetric,0.39662874499592826
100% Corpus,7,symmetric,0.01,0.3578110248459364
100% Corpus,7,symmetric,0.31,0.44804150145025
100% Corpus,7,symmetric,0.61,0.4578119682714526
100% Corpus,7,symmetric,0.9099999999999999,0.38185532346066664
100% Corpus,7,symmetric,symmetric,0.3546426700880573
100% Corpus,7,asymmetric,0.01,0.37321857744810555
100% Corpus,7,asymmetric,0.31,0.3911825773459754
100% Corpus,7,asymmetric,0.61,0.39376053342340434
100% Corpus,7,asymmetric,0.9099999999999999,0.3724866444519101
100% Corpus,7,asymmetric,symmetric,0.4166087612052297
100% Corpus,8,0.01,0.01,0.36432934513456
100% Corpus,8,0.01,0.31,0.43150326407647216
100% Corpus,8,0.01,0.61,0.45983522325871
100% Corpus,8,0.01,0.9099999999999999,0.46837626923170783
100% Corpus,8,0.01,symmetric,0.3947963609075499
100% Corpus,8,0.31,0.01,0.3666253512638147
100% Corpus,8,0.31,0.31,0.4621227707152419
100% Corpus,8,0.31,0.61,0.4237823293046028
100% Corpus,8,0.31,0.9099999999999999,0.4252793685689996
